order_id,trade_id,account_id,security_id,side,quantity,price,execution_time,fee,commission
0119d346-2a51-4d2e-a848-1071427d7c1f,a6da3a00-35a3-417b-9db9-b089d211ef30,ACC-16416002,XOM,BUY_TO_COVER,579,695.36,2025-07-22 05:07:04.019,5.79,11.58
4a86a91a-569f-44f9-aca3-4f7e7d4e47b2,b597460c-04ab-4d35-a273-4010ae51ea53,ACC-14308781,ADBE,BUY_TO_COVER,373,118.64,2025-07-22 14:19:59.019,3.73,7.46
3fc70701-0a77-4434-8899-0f7586aa9ef0,7cc30219-b7db-403d-b359-c4f9d06d2206,ACC-49400614,MSFT,BUY,2327,195.4,2025-07-22 02:10:53.019,23.27,46.54
5e746a10-2661-4527-83f2-a5743bdfaf04,c7700a60-9313-496c-b8c6-364d4e42a880,ACC-28307288,CVX,BUY,949,442.3,2025-07-22 17:41:46.020,9.49,18.98
9951f920-23ea-412c-951c-008aaff92114,cb4335c5-9d4f-4d0f-9267-7760d6a85b18,ACC-94460567,UNH,BUY_TO_COVER,884,22.44,2025-07-22 05:15:51.020,8.84,17.68
f0c35003-aedf-45c9-a17b-a42d6c2ac343,1039001b-ede7-4c58-aa2e-64cfbbeb2166,ACC-62229708,MRK,SELL,828,33.98,2025-07-22 05:50:57.020,8.28,16.56
8bf8c6b6-4640-4d4e-b11a-f43b6bc213c3,6da9a311-3b22-434c-a828-15775df6b487,ACC-29279269,AMZN,SELL,686,534.88,2025-07-22 17:01:45.020,6.86,13.72
b87183b4-c4cc-45be-9429-2b9c56db29e8,e792eea4-8919-4284-82a2-13c81170e8f6,ACC-78975078,ACN,SELL_SHORT,650,456.34,2025-07-22 08:31:06.020,6.5,13.0
b5f6e464-67f6-45a0-ae45-6692a9e099d9,b9733fdd-ad48-4edd-9f9a-9e1eb311daa0,ACC-95704093,AVGO,BUY,79,6.13,2025-07-22 00:20:28.020,0.79,1.58
da529b07-be13-474a-b495-a8d7061a06dd,33816875-99ad-4377-8b9b-feedc6321ce3,ACC-94771089,V,BUY_TO_COVER,5477,495.32,2025-07-22 02:24:30.020,54.77,109.54
78c84675-8f55-45fb-8ee5-c1129b6993b6,ca8fdfcc-a87d-4fe6-be03-240cb655a7c7,ACC-62229708,ADBE,BUY_TO_COVER,903,608.72,2025-07-22 00:37:51.020,9.03,18.06
5fb99459-85dc-4864-895d-813e336c6d3e,61d8180c-014b-43ab-b7d3-8c2839a585f6,ACC-35299499,ABBV,SELL,243,475.85,2025-07-22 03:02:10.020,2.43,4.86
